k13A_o48_56_dia0.cnf: UNSAT | VERIFIED
k13A_o48_56_dia1.cnf: UNSAT | VERIFIED
k13A_o49_03_c4a0.cnf: UNSAT | VERIFIED
k13A_o49_03_c4a1.cnf: UNSAT | VERIFIED
k13A_o49_03_c4a2.cnf: UNSAT | VERIFIED
k13A_o49_03_c4a3.cnf: UNSAT | VERIFIED
k13A_o49_03_dia0.cnf: UNSAT | VERIFIED
k13A_o49_03_dia1.cnf: UNSAT | VERIFIED
k13A_o50_04_c4a0.cnf: UNSAT | VERIFIED
k13A_o50_04_c4a1.cnf: UNSAT | VERIFIED
k13A_o50_04_c4a2.cnf: UNSAT | VERIFIED
k13A_o50_04_c4a3.cnf: UNSAT | VERIFIED
k13A_o50_04_dia0.cnf: UNSAT | VERIFIED
k13A_o50_04_dia1.cnf: UNSAT | VERIFIED
k13A_o51_04_c4a0.cnf: UNSAT | VERIFIED
k13A_o51_04_c4a1.cnf: UNSAT | VERIFIED
k13A_o51_04_c4a2.cnf: UNSAT | VERIFIED
k13A_o51_04_c4a3.cnf: UNSAT | VERIFIED
k13A_o51_04_dia0.cnf: UNSAT | VERIFIED
k13A_o51_04_dia1.cnf: UNSAT | VERIFIED
k13A_o52_03_c4a0.cnf: UNSAT | VERIFIED
k13A_o52_03_c4a1.cnf: UNSAT | VERIFIED
k13A_o52_03_c4a2.cnf: UNSAT | VERIFIED
k13A_o52_03_c4a3.cnf: UNSAT | VERIFIED
k13A_o52_03_dia0.cnf: UNSAT | VERIFIED
k13A_o52_03_dia1.cnf: UNSAT | VERIFIED
k13A_o53_04_c4a0.cnf: UNSAT | VERIFIED
k13A_o53_04_c4a1.cnf: UNSAT | VERIFIED
k13A_o53_04_c4a2.cnf: UNSAT | VERIFIED
k13A_o53_04_c4a3.cnf: UNSAT | VERIFIED
k13A_o53_04_dia0.cnf: UNSAT | VERIFIED
k13A_o53_04_dia1.cnf: UNSAT | VERIFIED
k13A_o54_04_c4a0.cnf: UNSAT | VERIFIED
k13A_o54_04_c4a1.cnf: UNSAT | VERIFIED
k13A_o54_04_c4a2.cnf: UNSAT | VERIFIED
k13A_o54_04_c4a3.cnf: UNSAT | VERIFIED
k13A_o54_04_dia0.cnf: UNSAT | VERIFIED
k13A_o54_04_dia1.cnf: UNSAT | VERIFIED
k13A_o55_04_c4a0.cnf: UNSAT | VERIFIED
k13A_o55_04_c4a1.cnf: UNSAT | VERIFIED
k13A_o55_04_c4a2.cnf: UNSAT | VERIFIED
k13A_o55_04_c4a3.cnf: UNSAT | VERIFIED
k13A_o55_04_dia0.cnf: UNSAT | VERIFIED
k13A_o55_04_dia1.cnf: UNSAT | VERIFIED
k13A_o56_45_c4a0.cnf: UNSAT | VERIFIED
k13A_o56_45_c4a1.cnf: UNSAT | VERIFIED
k13A_o56_45_c4a2.cnf: UNSAT | VERIFIED
k13A_o56_45_c4a3.cnf: UNSAT | VERIFIED
k13A_o56_45_dia0.cnf: UNSAT | VERIFIED
k13A_o56_45_dia1.cnf: UNSAT | VERIFIED
k13A_o57_45_c4a0.cnf: UNSAT | VERIFIED
k13A_o57_45_c4a1.cnf: UNSAT | VERIFIED
k13A_o57_45_c4a2.cnf: UNSAT | VERIFIED
k13A_o57_45_c4a3.cnf: UNSAT | VERIFIED
k13A_o57_45_dia0.cnf: UNSAT | VERIFIED
k13A_o57_45_dia1.cnf: UNSAT | VERIFIED
k13A_o58_56_c4a0.cnf: UNSAT | VERIFIED
k13A_o58_56_c4a1.cnf: UNSAT | VERIFIED
k13A_o58_56_c4a2.cnf: UNSAT | VERIFIED
k13A_o58_56_c4a3.cnf: UNSAT | VERIFIED
k13A_o58_56_dia0.cnf: UNSAT | VERIFIED
k13A_o58_56_dia1.cnf: UNSAT | VERIFIED
k13A_o59_24_c4a0.cnf: UNSAT | VERIFIED
k13A_o59_24_c4a1.cnf: UNSAT | VERIFIED
k13A_o59_24_c4a2.cnf: UNSAT | VERIFIED
k13A_o59_24_c4a3.cnf: UNSAT | VERIFIED
k13A_o59_24_dia0.cnf: UNSAT | VERIFIED
k13A_o59_24_dia1.cnf: UNSAT | VERIFIED
